SMILES,ID,CDK12 IC50,pValue,,,,,,, pValue
CN(C)CCN1N=C(NC(=O)NC2=CC=C(OC3=C4C=CNC4=NC=C3)C=C2)C=C1C(F)(F)F,ADS158086,5.0648635,5.295432255,,,,,,,
C=CC(=O)N1CCC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158156,0.029156425,7.535265728,,,,,,,
ClCC(=O)NC1=C(C=CC=C1)C(=O)N1CC[C@@H](C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158192,0.038543,7.414054485,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)CCl)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158209,0.02931505,7.532909361,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)CCl)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158210,0.02580045,7.588372719,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)CCl)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158218,0.01690035,7.772104301,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)CCl)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158253,0.0249171,7.603502505,,,,,,,
CN1CCN(CCN2N=C(C=C2NC(=O)NC2=CC=C(OC3=CC=NC4=C3C=CN4)C=C2)C(F)(F)F)CC1,ADS158303,19.0891,4.719214547,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC(NC(=O)CC)=CC=C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158309,7.71E-02,7.112945622,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1CCN(CC1)C(=O)C#C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158316,0.00821335,8.08547967,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1CCN(CC1)C(=O)C#C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158319,0.0104821,7.979551701,,,,,,,
C=CC(=O)N1CCC(CC1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158407,23.6214,4.626694366,,,,,,,
CCC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158409,2.139665,5.669654217,,,,,,,
C=CC(=O)N1CCC[C@@H]1C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158418,0.07782555,7.108877801,,,,,,,
C=CC(=O)N1CCC[C@@H]1C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158419,0.0857537,7.066747132,,,,,,,
CN(C(=O)NC1=NN(C)C(=C1)C(F)(F)F)C1=CC=C(OC2=CC=NC3=C2C=CN3)C=C1,ADS158423,25.49925,4.593472593,,,,,,,
CN1N=C(NC(=O)NC2=CC=C(OC3=C4C=CNC4=NC=C3)C=C2)C=C1C1CC1,ADS158467,5.79E-01,6.237321436,,,,,,,
C=CC(=O)NC1=CC=CC(=C1)C(=O)N1CCN(CC2=CC3=C(N2)N=CC=C3C2=C3C=CC=NN3N=C2)CC1,ADS158468,0.37851385,6.421918225,,,,,,,
C=CC(=O)NC1=CC=C(C=C1)C(=O)N1CCN(CC2=CC3=C(N2)N=CC=C3C2=C3C=CC=NN3N=C2)CC1,ADS158469,0.19574105,6.708318086,,,,,,,
C=CC(=O)N1CC(C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158633,0.03387485,7.470122619,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)N1CCN(CC2=CC3=C(N2)N=CC=C3C2=C3C=CC=NN3N=C2)CC1,ADS158634,2.6610957,5.574939507,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158635,2.02826555,5.692875186,,,,,,,
C=CC(=O)N1CC[C@@H](C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158664,3.5247145,5.452876055,,,,,,,
O=C(NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)[C@@H]1CCCN1S(=O)(=O)C1=CC=CC=C1,ADS158665,0.18948105,6.722434217,,,,,,,
O=C(NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)[C@@H]1CCCN1,ADS158666,2.63E-01,6.580044252,,,,,,,
C=CC(=O)N1CC[C@H](C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158677,9.177,5.037299268,,,,,,,
C=CC(=O)NC1=CC(=CC=C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158678,0.5038687,6.297682619,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC=C(C=C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158679,0.73308785,6.134843978,,,,,,,
ClCC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158780,0.1044161,6.981232532,,,,,,,
C=CC(=O)N1CCC[C@@H]1C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158781,18.26855,4.738295922,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158782,26.4377,4.57777633,,,,,,,
C=CC(=O)N1CCC[C@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158783,0.0773118,7.111754215,,,,,,,
C=CC(=O)N1CCC[C@@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158784,0.01029018,7.987577028,,,,,,,
CC(C)=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158785,0.4903327,6.309509143,,,,,,,
C=CC(=O)N1CCC[C@H](C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158798,10.9025,4.962473905,,,,,,,
CN(CC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1,ADS158799,0.07495025,7.125226914,,,,,,,
OCC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158864,0.7863322,6.10439394,,,,,,,
OCC(=O)N1CCC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158865,0.16144465,6.791976342,,,,,,,
C=CC(=O)N[C@H]1CC[C@H](CC1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158866,18.5393,4.731906668,,,,,,,
FC(F)(F)C1=NN(CC2=CC=NC=C2)C(NC(=O)NC2=CC=C(OC3=C4C=CNC4=NC=C3)C=C2)=C1,ADS158868,15.10615,4.820846207,,,,,,,
CN(C(=O)C=C)C1=CC=C(C=C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158919,0.2345771,6.629714387,,,,,,,
C=CC(=O)N1CCCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159417,0.0428164,7.368389851,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159418,1.62946715,5.78795439,,,,,,,
C=CC(=O)NCC1=CC(=CC=C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159419,5.5041867,5.259306843,,,,,,,
C=CC(=O)N1CCC(CC(=O)NCC2=CC3=C(N2)N=CC=C3C2=C3C=CC=NN3N=C2)CC1,ADS159420,14.70595,4.832506915,,,,,,,
CN1N=C(NC(=O)N[C@H]2CCCN(C2)C2=C3C=CNC3=NC=C2)C=C1C(F)(F)F,ADS159542,0.491957,6.308072856,,,,,,,
CC(C)(CCl)C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159544,0.69885555,6.155612582,,,,,,,
CC(=C)C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159545,1.3076935,5.883494035,,,,,,,
C\\C=C\\C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159546,1.326112,5.877419795,,,,,,,
CC#CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159547,0.9412353,6.026301793,,,,,,,
CN1N=C(NC(=O)N[C@@H]2CCCN(C2)C2=C3C=CNC3=NC=C2)C=C1C(F)(F)F,ADS159627,24.3699,4.613146253,,,,,,,
CN(CCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)[C@@H]1CCCN1C(=O)C=C,ADS159631,0.72597875,6.139076091,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)N1CCC(CC1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159632,0.0286599,7.542725329,,,,,,,
C=CC(=O)N1CCC[C@@H]1C(=O)N1CCC(CC1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS159633,0.0519812,7.284153699,,,,,,,
CN1N=C(NC(=O)CC2CCCN(C2)C2=C3C=CNC3=NC=C2)C=C1C(F)(F)F,ADS159699,12.47695,4.903891565,,,,,,,
CN1N=C(NC(=O)N[C@H]2CC[C@@H](CC2)OC2=CC=NC3=C2C=CN3)C=C1C(F)(F)F,ADS159736,0.88065,6.055196661,,,,,,,
C=CC(=O)N1CC[C@]2(C1)CCCN(CC1=CC3=C(N1)N=CC=C3C1=C3C=CC=NN3N=C1)C2,ADS159744,15.31255,4.81495248,,,,,,,
CN(CCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)[C@H]1CCCN(C1)C(=O)C=C,ADS159757,0.75420865,6.122508491,,,,,,,
C=CC(=O)NC[C@@H]1CCN(CC2=CC3=C(N2)N=CC=C3C2=C3C=CC=NN3N=C2)C1,ADS159758,14.0979,4.850845574,,,,,,,
C=CC(=O)N[C@H]1COC[C@@H]1C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160005,5.81708385,5.235294676,,,,,,,
C=CC(=O)N[C@@H]1CC[C@H](C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160059,13.49015,4.869983221,,,,,,,
CN(CCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)[C@H]1CCCN1C(=O)C=C,ADS160076,4.0425638,5.393343117,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCCC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160077,0.9578324,6.018710476,,,,,,,
CCNCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160078,0.71479855,6.145816337,,,,,,,
O=C(NCCC1=CC2=C(N1)N=CC=C2C1=CC=NC=C1)[C@@H]1CCCN1,ADS160079,14.6561,4.83398158,,,,,,,
C=CC(=O)N1CCO[C@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160080,0.01457045,7.836527035,,,,,,,
C=CC(=O)N1CCOC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160082,0.015955375,7.797092984,,,,,,,
CN1N=C(NC(=O)NC2=CC=C(OC3=C4C=CNC4=NC=C3)C=C2)C=C1C(C)(C)C,ADS160084,0.34625875,6.460599243,,,,,,,
C=CC(=O)N1CCCC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160181,0.034871375,7.457530928,,,,,,,
CN(CCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)C1=CC(NC(=O)C=C)=CC=C1,ADS160182,0.1655954,6.780951731,,,,,,,
CCN(CCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C(=O)[C@@H]1CCCN1C(=O)C=C,ADS160186,11.2092,4.950425382,,,,,,,
C=CC(=O)N[C@@H]1CC[C@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160187,0.43804375,6.358482512,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=CC=NC=C1,ADS160188,8.56965,5.067036915,,,,,,,
CN1C=C(C=N1)C1=CC=NC2=C1C=C(CCNC(=O)[C@@H]1CCCN1C(=O)C=C)N2,ADS160208,0.44567065,6.350985966,,,,,,,
CN1N=C(NC(=O)C[C@@H]2CCCN(C2)C2=C3C=CNC3=NC=C2)C=C1C(F)(F)F,ADS160241,5.5981726,5.251953716,,,,,,,
C=CC(=O)N1CCOC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160243,0.0140664,7.851817037,,,,,,,
C=CC(=O)N1CCO[C@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160386,0.01643695,7.784178766,,,,,,,
C=CC(=O)N1CCO[C@@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160387,0.041988,7.376874811,,,,,,,
C=CC(=O)N1CC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160388,0.0156509,7.805460683,,,,,,,
CN1N=CC=C1C1=CC=NC2=C1C=C(CCNC(=O)[C@@H]1CCCN1C(=O)C=C)N2,ADS160389,15.94485,4.797379562,,,,,,,
CN1N=CC=C1C1=CC=NC2=C1C=C(CCNC(=O)[C@H]1CCCN1C(=O)C=C)N2,ADS160390,12.6329,4.898496942,,,,,,,
O=C(NC1=CC=C(OC2=C3C=CNC3=NC=C2)C=C1)N1CC[C@@H](C1)OC1=CC=CC=N1,ADS160503,23.4888,4.62913917,,,,,,,
O=C(NC1=CC=C(OC2=C3C=CNC3=NC=C2)C=C1)N1CC[C@H](C1)OC1=CC=CC=N1,ADS160504,27.4771,4.561029106,,,,,,,
O=C(NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)[C@@H]1CCCN1C(=O)\\C=C\\CN1CCOCC1,ADS160519,4.9975484,5.301242991,,,,,,,
ClC1=CN=C2NC=CC2=C1C1=C2C=CC=NN2N=C1,ADS160520,0.22121605,6.655183367,,,,,,,
O=C(NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)[C@@H]1CCCN1C(=O)\\C=C\\CN1CCCC1,ADS160548,1.59195065,5.798070399,,,,,,,
CN1N=C(NC(=O)N[C@H]2CCCN(CC3=C4C=CNC4=NC=C3)C2)C=C1C(F)(F)F,ADS160710,18.40145,4.735147954,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=CC=CN=C1,ADS160713,2.3536963,5.628249575,,,,,,,
O=C(CC#N)N1CCC[C@H]1C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160714,0.57623605,6.239399575,,,,,,,
CC(C)=C(C#N)C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160715,1.15410845,5.937753379,,,,,,,
NCCC1=CC2=C(C=CN=C2N1)C1=CC=CN=C1,ADS160716,6.35374195,5.196970428,,,,,,,
NCCC1=CC2=C(C3=C4C=CC=NN4N=C3)C(Cl)=CN=C2N1,ADS160789,0.11180255,6.951548291,,,,,,,
ClC1=CN=C2NC(CCNC(=O)[C@@H]3CCCN3C(=O)C=C)=CC2=C1C1=C2C=CC=NN2N=C1,ADS160790,0.0359454,7.444356679,,,,,,,
ClC1=CN=C2NC(CCNC(=O)[C@H]3CCCN(C3)C(=O)C=C)=CC2=C1C1=C2C=CC=NN2N=C1,ADS160791,0.0178815,7.747596053,,,,,,,
ClC1=CN=C2NC(CCNC(=O)C3=CC=CC(NC(=O)C=C)=C3)=CC2=C1C1=C2C=CC=NN2N=C1,ADS160799,0.0207928,7.682087024,,,,,,,
ClC1=CN=C2NC(CCNC(=O)[C@H]3CCCN3C(=O)C=C)=CC2=C1C1=C2C=CC=NN2N=C1,ADS160801,0.03509325,7.45477641,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC(NC(=O)C=C)=CN=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160803,0.01058455,7.975327601,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC(CC1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160857,0.0591337,7.228164946,,,,,,,
CN(C)C\\C=C\\C(=O)N1CC[C@H](C1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160858,0.04579115,7.339218449,,,,,,,
O=C(NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)[C@@H]1CCCN1C(=O)C1=CCCC1,ADS160859,0.94053225,6.026626308,,,,,,,
CN1N=C(NC(=O)N[C@@H]2CCC[C@@H](C2)OC2=CC=NC3=C2C=CN3)C=C1C(F)(F)F,ADS160860,10.8838,4.963219447,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC(NC(=O)\\C=C\\CN(C)C)=CN=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS160917,0.02375755,7.624198348,,,,,,,
C=CC(=O)N1CC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160918,0.0228845,7.640458572,,,,,,,
C=CC(=O)N1CC[C@@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS160919,1.11E-02,7.954677021,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC(=CC=C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS161086,0.1456021,6.836832361,,,,,,,
[H][C@@]1(CCN(C1)C(=O)CC1CCN(CC1)C(=O)\\C=C\\CN(C)C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161087,0.22745765,6.643099452,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)[C@@H](C)Cl)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161088,0.6143366,6.21159361,,,,,,,
[H][C@@]1(CCN(C1)C(=O)CO[C@@H]1CCN(C1)C(=O)\\C=C\\CN(C)C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161122,0.12961875,6.887332171,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@@H]1CCCN(C1)C(=O)\\C=C\\CN(C)C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161123,0.1498404,6.824371076,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H](C)Cl)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161163,0.11880295,6.925172775,,,,,,,
CN1CCN(CC2=C(C=C(NC(=O)N[C@H]3CC[C@@H](CC3)OC3=C4C=CNC4=NC=C3)C=C2)C(F)(F)F)CC1,ADS161166,0.07854085,7.104904403,,,,,,,
CN1CCN(CC2=C(C=C(NC(=O)N[C@H]3CCCN(C3)C3=C4C=CNC4=NC=C3)C=C2)C(F)(F)F)CC1,ADS161178,1.29308105,5.888374253,,,,,,,
C=CC(=O)N1CCC[C@H]1CNC(=O)CC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS161233,3.43679585,5.463846265,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN(C1)C(=O)\\C=C\\CN(C)C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161273,0.1250896,6.902778796,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C[C@@H]1CCCN(C1)C(=O)\\C=C\\CN(C)C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161423,0.315973,6.500350026,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC[C@@H](C1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161424,0.0724292,7.140086312,,,,,,,
CN(C)C\\C=C\\C(=O)N1CC[C@@H]1C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161425,0.0609485,7.215036978,,,,,,,
CN(C)C\\C=C\\C(=O)N1CC[C@H]1C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161426,0.0282865,7.548420786,,,,,,,
CN(C)C\\C=C\\C(=O)N1CC(C1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161518,0.02050645,7.688109517,,,,,,,
O=C(C1CCNCC1)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161519,0.0802978,7.095296353,,,,,,,
CCC(=O)N1CCC(CC1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161520,0.07662315,7.115639998,,,,,,,
C\\C=C\\C(=O)N1CCC(CC1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161530,0.0661958,7.179169565,,,,,,,
CN(C)CCCC(=O)N1CCC(CC1)C(=O)N1CCC(CC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161539,0.06598065,7.18058341,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=CN=CN=C1,ADS161557,23.5989,4.62710824,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC[C@@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS161558,0.51983175,6.284137198,,,,,,,
CN1N=C(NC(=O)N[C@H]2CCCN(C2)C2=C3C=NNC3=NC=C2)C=C1C(F)(F)F,ADS161590,8.973,5.047062332,,,,,,,
CN1CCN(CC2=CC=C(NC(=O)N[C@H]3CCCN(C3)C3=C4C=NNC4=NC=C3)C=C2C(F)(F)F)CC1,ADS161591,1.1353923,5.944854055,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)[C@H](C)Cl)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161719,0.62332285,6.205286952,,,,,,,
[H][C@]1(CCN1C(=O)C=C)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=CN=CN=C1,ADS161721,2.0595617,5.686225193,,,,,,,
[H][C@]1(CCN1C(=O)C=C)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C(C)N(C)N=C1,ADS161722,0.90640485,6.042677779,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=CN2N=C1,ADS161723,1.2313841,5.909606458,,,,,,,
C[C@@H]1CN(CC[C@@H]1C(=O)N1CCC(C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)C(=O)\\C=C\\CN(C)C,ADS161774,0.51269995,6.290136725,,,,,,,
C=CC(=O)N1CCC(C1)C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161951,0.05998285,7.221972903,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)OCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161952,0.12346805,6.908445411,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC[C@H]1C(=O)N(C)CCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161953,8.81925,5.054568346,,,,,,,
CC(NC(=O)C=C)C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161954,0.124572,6.904579563,,,,,,,
FC(F)(F)C(F)(\\C=C\\C(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)C(F)(F)F,ADS161955,0.22380295,6.650134193,,,,,,,
C=CC(=O)N1CCC[C@@H](C1)C(=O)N1CCO[C@@H](C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161956,0.1714592,6.765839207,,,,,,,
C=CC(=O)N1CCC[C@@H](C1)C(=O)N1CCO[C@H](C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161957,0.32992625,6.481583129,,,,,,,
CN(C)C\\C=C\\C(=O)N1CCC[C@@H](C1)C(=O)N1CC(C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS161965,0.850309,6.070423224,,,,,,,
CC(C)CC(NC(=O)C=C)C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS162053,0.1078126,6.96733048,,,,,,,
CN1N=C(NC(=O)N[C@H]2CCCN(C2)C2=C3C=CNC3=NC=C2)C=C1C(C)(C)C,ADS162063,0.64050415,6.193478052,,,,,,,
OCCC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS162108,1.64516285,5.783791106,,,,,,,
CN1N=C(C=C1NC(=O)N[C@H]1CCCN(C1)C1=C2C=CNC2=NC=C1)C(C)(C)C,ADS162138,1.4957626,5.82513733,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN(C1)C(=O)CC)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS162140,4.23E-02,7.373659633,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN(C1)C(=O)C=C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS162141,0.011640025,7.934046087,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@H]1CCCN(C1)C(=O)\\C=C\\C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS162142,0.07143805,7.146070409,,,,,,,
